"No.","Time","Source","Destination","Protocol","Length","Info"
"1006","8.841101","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1007","8.841104","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1008","8.852267","192.168.43.45","31.13.66.51","TCP","78","[TCP Retransmission] 60232  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1124883750 TSecr=0 SACK_PERM"
"1009","8.880943","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1010","8.921054","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1011","8.941044","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1012","8.960717","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1013","9.000890","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1014","9.041060","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1015","9.041063","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1016","9.062171","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x381e A ssl.gstatic.com"
"1017","9.062317","192.168.43.45","8.8.8.8","DNS","75","Standard query 0x22af HTTPS ssl.gstatic.com"
"1018","9.068879","192.168.43.45","8.8.8.8","DNS","74","Standard query 0xb060 A www.google.com"
"1019","9.069237","192.168.43.45","8.8.8.8","DNS","74","Standard query 0xf6f6 HTTPS www.google.com"
"1020","9.069895","192.168.43.45","8.8.8.8","DNS","80","Standard query 0x185b A beacons.gcp.gvt2.com"
"1021","9.070023","192.168.43.45","8.8.8.8","DNS","80","Standard query 0x8e4d HTTPS beacons.gcp.gvt2.com"
"1022","9.070482","192.168.43.45","8.8.8.8","DNS","76","Standard query 0xf993 A beacons.gvt2.com"
"1023","9.070580","192.168.43.45","8.8.8.8","DNS","76","Standard query 0x21e5 HTTPS beacons.gvt2.com"
"1024","9.075946","192.168.43.45","8.8.8.8","DNS","77","Standard query 0xe1e0 A beacons5.gvt2.com"
"1025","9.076045","192.168.43.45","8.8.8.8","DNS","77","Standard query 0x5f28 HTTPS beacons5.gvt2.com"
"1026","9.082583","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1027","9.083249","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1028","9.091394","192.168.43.45","31.13.88.61","TCP","78","[TCP Retransmission] 60233  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1141774157 TSecr=0 SACK_PERM"
"1029","9.091587","192.168.43.45","8.8.8.8","DNS","78","Standard query 0x9de8 HTTPS init.ess.apple.com"
"1030","9.091674","192.168.43.45","8.8.8.8","DNS","78","Standard query 0xd0f8 A init.ess.apple.com"
"1031","9.120752","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1032","9.140761","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1033","9.160855","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1034","9.200884","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1035","9.241012","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1036","9.242509","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1037","9.282696","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1038","9.321184","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1039","9.333314","192.168.43.45","8.8.8.8","DNS","79","Standard query 0x7ebd HTTPS query.ess.apple.com"
"1040","9.333584","192.168.43.45","8.8.8.8","DNS","79","Standard query 0xb4fe A query.ess.apple.com"
"1041","9.340625","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1042","9.373249","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1043","9.400901","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1044","9.401488","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1045","9.441061","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1046","9.443878","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1047","9.480730","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1048","9.520699","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1049","9.540871","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1050","9.561455","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1051","9.600985","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1052","9.640748","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1053","9.640753","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1054","9.682068","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1055","9.720770","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1056","9.721331","192.168.43.45","192.168.43.42","UDP","46","2399  >  2390 Len=4"
"1057","9.740887","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1058","9.760853","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1059","9.785151","192.168.43.45","8.8.8.8","DNS","76","Standard query 0x0eb7 A alive.github.com"
"1060","9.800669","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1061","9.834696","192.168.43.42","192.168.43.45","UDP","53","2390  >  2399 Len=11"
"1062","9.840766","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
"1063","9.840769","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1064","9.881152","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1065","9.920973","192.168.43.42","192.168.43.45","UDP","72","2390  >  2399 Len=30"
"1066","9.941315","192.168.43.42","192.168.43.45","UDP","67","2390  >  2399 Len=25"
